,compound_id,rdkit_smiles,docking_score,rank
1889,CPD002398303,Cc1cc(C)cc(C(=O)NCCc2c[nH]c3ccccc23)c1,-7.085,2087.0
6343,CPD000045225,COc1ccc(C2CC(=O)c3cnc(NC(=O)c4ccccc4OC)nc3C2)c(OC)c1,-4.524,5939.5
4094,CPD002444198,Cc1ccc(C2CC(=O)CC(c3ccc(C)cc3)C2(C#N)C(N)=O)cc1,-5.369,4190.5
3075,CPD001939159,COc1ccc(CNC(=O)Cn2ccn3nc(-c4ccc5c(c4)OCO5)cc3c2=O)cc1,-5.172,4592.0
3159,CPD000135142,Cc1nc(O)c2ccccc2n1,-5.013,4968.0
6730,CPD002439544,c1ccc(CNCc2cccc3ccccc23)cc1,-5.022,4945.5
336,CPD002395519,O=C(O)COc1ccc2c(=O)c(Oc3ccc(Cl)cc3)coc2c1,-8.958,374.0
3518,CPD002490326,O=C(COc1ccc(Cl)cc1)NCCc1csc(-c2cccnc2)n1,-5.862,3325.5
5603,CPD002365788,CCOC(=O)C1C(=O)C=C(c2ccc(C)cc2)CC1c1cccc(F)c1,-4.658,5707.5
3933,CPD001626292,COc1ccc(-c2nc(NCCN3CCCCC3C)c3ccccc3n2)cc1,-4.886,5225.0
176,CPD000651589,Cc1c(OCC(=O)N[C@@H](Cc2ccccc2)C(=O)O)ccc2c1oc(=O)c1ccccc12,-9.227,201.0
3250,CPD002415863,Cc1ccccc1COc1ccccc1C(=O)O,-4.821,5370.5
3302,CPD002367621,CCC(C)NC(=O)Nc1ccc2nc(N3CCOCC3)cc(C)c2c1,-4.719,5589.0
422,CPD000650299,COc1ccc2c(c1)c(=O)oc1c(C)c(OC(C)C(=O)N[C@@H](Cc3c[nH]c4ccc(O)cc34)C(=O)O)ccc12,-8.822,469.5
5924,CPD002432511,CCCNC(=O)c1ccc2ccccc2n1,-5.574,3810.0
3811,CPD000844347,Cc1cc(-n2c(C)cc(C(=O)CSc3nnc(C(C)Oc4ccccc4F)o3)c2C)no1,-5.657,3651.5
1417,CPD002484135,CCc1nnc(NC(=O)c2cc(-c3ccccc3)nc3ccccc23)s1,-7.87,1545.0
6870,CPD002405399,CCOc1ccc(C(=O)Nc2ncc(C)s2)cc1OC,-4.958,5069.0
4198,CPD000707463,CCN(CC)c1ccc(S(=O)(=O)N2CCOCC2)cc1NC(=O)CSc1nncs1,-5.096,4767.5
1068,CPD002427387,COC(=O)c1cccc(C(=O)O)n1,-8.179,1165.0
1916,CPD002408573,CCCc1cc(O)nc(SCc2nc(-c3ccc(C)c(F)c3)no2)n1,-7.031,2125.0
2779,CPD002416422,O=C(NC(CCCc1ccccc1)c1ccccc1)c1ccc[n+]([O-])c1,-5.645,3678.5
5334,CPD002427038,COC(=O)c1ccc(C)c(S(=O)(=O)Oc2ccc3ccc(=O)oc3c2)c1,-4.657,5710.0
2087,CPD000745260,COC(=O)/C=C/C(=O)Nc1cc(Cl)ccc1O,-6.669,2356.5
4828,CPD002413192,O=C(OCC(c1ccccc1)c1ccccc1)c1cccnc1,-5.388,4164.5
4244,CPD002375202,NC(=O)C1CCN(C(=O)c2ccc3c(c2)CCCN3S(=O)(=O)c2ccc(Cl)cc2)CC1,-4.361,6202.0
6997,CPD002411155,O=C(NCCC1CCCO1)c1cc(-c2ccc(F)cc2)nc2ccccc12,-5.554,3850.5
105,CPD002364322,O=C(O)c1cccc(C=NO)c1O,-9.435,115.5
5338,CPD002371918,COc1ccc(NC(=O)NC(C(=O)N2CCc3ccccc32)C(C)C)cc1OC,-4.723,5570.5
6626,CPD002428674,Cc1cccc(OCc2ccc(C(N)=O)cc2)c1,-5.042,4890.5
692,CPD002430026,Cc1ccc(CNS(=O)(=O)c2ccc(CCC(=O)O)cc2)cc1,-8.537,759.5
1439,CPD002410748,CC(Sc1nc2ccc(F)cc2c(=O)[nH]1)C(=O)NC1CC1,-7.844,1568.5
4501,CPD002442479,[O-]/[N+](=C\c1c[nH]c2ccccc12)c1ccc(Br)cc1,-6.932,2185.0
493,CPD000299036,Cc1cccc(C)c1OCC(=O)Nc1cccc(C(=O)O)c1,-8.748,546.5
4867,CPD002454830,Cn1c(N2CCCCC2)nc2c1c(=O)n(Cc1cccc(Cl)c1)c(=O)n2C,-4.424,6109.5
2668,CPD002376423,Cc1[nH]c2nc(NCc3ccccc3)nn2c(=O)c1CCC(=O)Nc1cccc2ccccc12,-5.827,3389.0
6376,CPD002403695,COc1ccc(-c2nn(-c3ccccc3)cc2C(=O)NCC(C)(C)N2CCOCC2)cc1OC,-5.227,4479.5
556,CPD002418305,O=C(O)c1cc(F)c(F)cc1Cl,-8.689,611.5
2552,CPD001241889,C=CCn1c(SCC(=O)c2c(N)n(C3CC3)c(=O)[nH]c2=O)nnc1-c1ccoc1C,-5.995,3144.0
3934,CPD002367951,Cn1c(=O)n(C)c2cc(SC3CCCCC3)c(NS(=O)(=O)c3cccc(Cl)c3)cc21,-4.757,5510.5
4361,CPD002374144,Cc1ccc(S(=O)(=O)Nc2nc3ccc(C)cc3nc2Nc2ccc3c(c2)OCO3)cc1,-4.959,5065.5
6295,CPD002431216,N#Cc1cccc(/C=C/C(=O)c2ccsc2)c1,-5.283,4368.0
5763,CPD001336788,O=C(CSc1ncnc2ccccc12)Nc1cccc(F)c1,-5.693,3591.0
5505,CPD002430406,C#CCN1CCC(C(=O)NCCN2CCC(C)CC2)CC1,-2.295,6978.0
2183,CPD002397073,O=C(COC(=O)c1n[nH]c(=O)c2ccccc12)Nc1cccc(F)c1,-6.516,2505.0
3959,CPD002367534,O=C(Nc1ccccc1)Nc1c(NC2CCCCC2)c2ccccc2oc1=O,-4.596,5807.5
1653,CPD002410037,O=C(O)c1nnn(-c2ccc(Br)cc2)c1C(F)(F)F,-7.561,1805.5
4327,CPD002373443,O=c1c(S(=O)(=O)c2cccc(F)c2)c[nH]c2c(F)ccc(Cl)c12,-8.548,748.5
3136,CPD000013538,O=C(O)Cn1ccnc1,-5.045,4882.0
5141,CPD000714130,Cn1c(=O)c2c(ncn2CC(=O)OCC(=O)Nc2sccc2C(N)=O)n(C)c1=O,-5.585,3784.5
328,CPD000150539,O=C(O)Cc1ccc2c(c1)[nH]c1ccccc12,-8.974,366.0
1250,CPD000065497,O=C(O)CCNS(=O)(=O)/C=C/c1ccccc1,-8.021,1363.0
2476,CPD002439559,CCc1ccc2[nH]c(C(=O)O)cc2c1,-6.093,2998.0
3954,CPD000495767,COc1cc(C(=O)N(C)CCOc2ccc(C)cc2)ccc1OC1CCN(C(C)=O)CC1,-5.316,4300.0
3385,CPD000368397,O=C(O)CSc1cc(Cl)ccc1Cl,-4.476,6029.0
4436,CPD001534938,CSc1ccc(S(=O)(=O)N2CCN(C)CC2)cc1,-4.306,6285.5
5610,CPD002373111,CCCCN1C(=O)C(NC(=O)c2ccc(C(C)(C)C)cc2)(C(F)(F)F)C2=C1CC(C)(C)CC2=O,-4.597,5805.0
6446,CPD002403848,O=C(NC1CC1)c1ccc(CN(C2CC2)S(=O)(=O)c2ccc3c(c2)CCCC3)cc1,-3.98,6654.5
936,CPD002439035,O=C(O)COc1ccc(/C=C2\NC(=O)NC2=O)cc1Br,-8.289,1014.5
3985,CPD000012603,COC(=O)C(C)Sc1nc2c(c(=O)[nH]c(=O)n2C)n1CCCc1ccccc1,-4.748,5520.0
4308,CPD002498274,CCCCCCCCCC[S+]([O-])CCCl,-2.205,6983.0
4913,CPD002411390,Cc1cccc(C)c1OCC(=O)NCCc1nnc2ccccn12,-5.725,3541.5
6412,CPD002364304,CCCCCc1ccc(-c2ccc(C3CCC(CC)CC3)cc2)nc1,-3.92,6687.5
2125,CPD001633026,Cc1cccc(NC(=O)Cc2c[nH]c3ccccc23)c1C,-6.596,2416.0
3263,CPD002452837,O=C(Nc1cccnc1)c1cc(-c2ccccc2)nc2ccccc12,-4.805,5409.0
4412,CPD002410258,CCn1c(=O)c(=O)[nH]c2cc(C(=O)N3CCC4(CC3)OCCO4)ccc21,-5.559,3837.5
6706,CPD002411490,CCCNC(=O)CN(C)Cc1nc(-c2ccccc2)oc1C,-4.493,6004.5
5680,CPD002408536,O=C(CCc1nc(-c2ccccn2)no1)NCc1ccc(-n2cncn2)nc1,-6.879,2218.5
5900,CPD002410898,c1ccc(N2CCN(c3nc(N4CCOCC4)c4nccnc4n3)CC2)cc1,-5.559,3837.5
1396,CPD000033614,O=C(O)c1cc(-c2ccco2)nc2ccc(Br)cc12,-7.887,1522.5
3620,CPD002375251,Clc1cccc(Cn2c(-c3cncs3)nc3ccccc32)c1,-5.224,4484.0
2809,CPD002373441,COc1cc(C(=O)Nc2ccc(Cl)cc2)nc2ccc(Cl)cc12,-5.601,3754.0
2592,CPD002398406,NC(=O)NC(=O)CSc1nnc(-c2ccccc2)c(-c2ccccc2)n1,-5.94,3222.0
4770,CPD000371764,O=C(COC(=O)c1ccc(F)cc1)Nc1cc(S(=O)(=O)N2CCOCC2)ccc1N1CCCC1,-5.544,3871.0
6506,CPD002401857,COc1ccc(Cl)cc1NC(=O)C(C)N1CCN(S(=O)(=O)Cc2ccccc2)CC1,-4.255,6365.0
6828,CPD001375893,COc1cc(/C=C(\C#N)c2nc3ccccc3[nH]2)cc(Br)c1OC,-3.992,6648.5
6208,CPD002369226,Cc1ncc(-c2ccc(S(=O)(=O)Nc3cccc(Cl)c3C)cc2)o1,-5.499,3951.0
