,rdkit_smiles
64923,CCCCCCOC(=O)CC(C(=O)OCCCCCC)S(=O)(=O)[O-]
52758,CCOC(=O)C(=O)NNC(=O)OC
81821,Cc1ccc([N+](=O)[O-])cc1S(=O)(=O)N1CCN(c2ccc(N3CCOCC3)nn2)CC1
66737,CCCC(N)CCC
6823,COC1CCN(S(=O)(=O)c2cc(C(=O)O)ccc2Cl)CC1
65600,CCCCCCCC[S+]([O-])CCCCC(=O)O
15414,COc1ccc(OC)c(S(=O)(=O)N2CCN(c3cc(N4CCCC4)nc(C)n3)CC2)c1
70200,CCn1cc(S(=O)(=O)N2CCCC2C(=O)O)c(C)n1
47078,CCOC(=O)c1sc(C)nc1C
57259,CS(=O)(=O)NCCC(=O)O
70715,CCCN=C(S)NNC(=O)C(C)C
70318,O=C(O)CCCCCCCCCCCl
66138,CCCCS(=O)(=O)CCSS(=O)(=O)[O-]
73878,Cc1ccc(S(=O)(=O)c2cccc(S(=O)(=O)N3CCCC3)c2)cc1S(=O)(=O)N1CCCC1
81892,COc1ccc(S(=O)(=O)N2CCC3(CC2)OCCN3S(=O)(=O)c2ccc(OC)cc2)cc1
71437,CCCN=C(S)NNC(=O)CCC
54545,CCN(CC)C(=N)S
54402,N#CCCNC(=O)CCl
22409,COCC(C)NS(=O)(=O)c1ccc(C)cc1C
66299,C#CCOC(=O)CCC(=O)O
48680,C[N+](C)(C)CCSSCC[N+](C)(C)C
54163,COC(=O)CCCNC(=O)C12CC3CC(CC(C3)C1)C2
54773,CNC(=O)C(O)C(O)C(=O)NC
15413,COc1ccc(S(=O)(=O)N2CCN(c3cc(N4CCCC4)nc(C)n3)CC2)cc1OC
47177,OCCSCCSCCO
63165,CCOCCCNC(=O)CC1CC2CCC1C2
63109,COCCCNC(=O)CC1CC2CCC1C2
16777,CN(CCC#N)S(=O)(=O)c1cc(Cl)ccc1Cl
69845,C[N+](C)(C)CC#CCCCC#CC[N+](C)(C)C
63948,CCCS(=O)(=O)C(C)C(=O)O
53819,CCS(=O)(=O)NC(CCSC)C(=O)O
53855,CC(C)NC(=O)C(C)Cl
3589,CN(CCC#N)S(=O)(=O)c1ccc(Cl)cc1F
71349,CCCCNC(=O)C12CC3CC(CC(C3)C1)C2
52144,C=CCNC(=O)NC(=O)COC(=O)/C=C/C=C/C
47091,CC(C)C(NC(=O)C(N)C(C)O)C(=O)O
15416,COc1ccc(C)cc1S(=O)(=O)N1CCN(c2cc(N3CCCCC3)nc(C)n2)CC1
63887,CCCCOCCN(C)CC(=O)NCCCOC
60736,CC/C(C)=N\NC(=O)CCCCC(=O)N/N=C(\C)CC
62744,C=CCNC(S)=NCCCOC
62175,CCOCCCNC(=O)C1CCOCC1
72120,O=C(O)CC(O)C(=O)O
63920,CC(C)S(=O)(=O)CC(=O)O
23685,COc1ccc2c(c1)CCCN2S(=O)(=O)c1cc(C)ccc1C
10267,COc1ccc(OC)c(S(=O)(=O)n2nc(C)c(S(=O)(=O)N3CCCC3)c2C)c1
26890,O=C(O)c1ccc(F)c(S(=O)(=O)N2CCC2)c1
52634,CC(C)(C)NC(=O)NC(=O)CCl
32002,O=C(O)C1CCN(S(=O)(=O)c2ccc(Cl)c(Cl)c2)CC1
66055,CCCCCCCC[S+]([O-])CCCCCCCC
64227,C[N+](C)(C)CC#CCCCCC#CC[N+](C)(C)C
61362,CS(=O)(=O)NCC(=O)[O-]
69329,CCCCCCCC[S+]([O-])CCCO
64107,CCCCCCCC[S+]([O-])CCO
51125,CCCCCCCCCC[S+]([O-])CCO
4164,Cc1cc(C)c(S(=O)(=O)N2CCN(C)CC2)cc1Br
81899,COc1ccc(OC)c(S(=O)(=O)N2CCC3(CC2)OCCN3S(=O)(=O)c2ccccc2)c1
50876,O=C(O)C(CCCCCCCCCCCO)C(=O)O
47487,C#CC[N+](C)(C)CCCCCCCCCCCC
47486,C#CC[N+](C)(C)CCCCCCCCCC
71420,CCOC(=O)NC(C)C12CC3CC(CC(C3)C1)C2
36639,CCOC(=O)c1cn(C)nc1S(=O)(=O)N1CCOCC1
11231,Cc1cc(C2CCCN2S(=O)(=O)c2cc(C)c(C)cc2C)on1
36655,CCOC(=O)c1cn(CC)nc1S(=O)(=O)N1CCOCC1
66293,CN(C)C(=S)N(C)C
61544,COC(=O)C1(NC(=O)CCNC(C)=O)CCCCCC1
54685,CCOCCCN=C(N)S
65346,[O-][S+](CCO)CCO
50747,C[N+](C)(N)CCOCC[N+](C)(C)N
81907,COc1ccc(OC)c(S(=O)(=O)N2CCC3(CC2)OCCN3S(=O)(=O)c2cccs2)c1
27840,O=C(O)c1ccc(F)c(S(=O)(=O)N2CCCC2)c1
58490,CC(C)CS(=O)(=O)CCC(=O)O
80551,CCCN(CCC)S(=O)(=O)c1ccc(C)cc1
64735,CN(C)CCNC(=O)CCC(=O)O
62731,CCCC(C)C(=O)OCC(=O)C12CC3CC(CC(C3)C1)C2
64750,O=C(NCCCCCCNC(=O)C1CC1)C1CC1
65936,CCC(C)C(NC(=O)C1CCC(C(C)C)CC1)C(=O)O
49577,CCCCC(=O)OCc1c(C(=O)OCC)sc(N)c1C#N
63697,CCN(C(=O)C1CCC1)C1CC1
66159,O=S(=O)([O-])CC(S)CS
47275,O=C(NCCCCNC(=O)C1CC1)C1CC1
