,compound_id,smiles,docking_score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate,rank,top_100
5582,ZINC000665289929,CCS(=O)(=O)CCCCCN1CC[C@@H](C2CCC2)C1,-3.78082,CCS(=O)(=O)CCCCCN1CC[C@@H](C2CCC2)C1,-3.78082,,-0.0,0,228.0,0
1818,ZINC000436164188,COc1ccc(S(=O)(=O)N2C[C@H](C)[C@H](C)C2)cc1C,-3.79152,COc1ccc(S(=O)(=O)N2C[C@@H](C)[C@@H](C)C2)cc1C,-3.79152,,-0.0,0,229.0,0
8674,ZINC000637621962,C=CCCC(C)(C)CNC(=O)N1CCC([C@@H](C)CO)CC1,-3.792,C=CCCC(C)(C)CNC(=O)N1CCC([C@@H](C)CO)CC1,-3.792,,-0.0,0,230.0,0
3911,ZINC000483145353,CC(C)CC1(CNC(=O)N2CCC[C@@]2(C)CCCO)CCCC1,-3.79235,CC(C)CC1(CNC(=O)N2CCC[C@@]2(C)CCCO)CCCC1,-3.79235,,-0.0,0,231.0,0
5268,ZINC000338209538,COC(=O)C(C)(C)N(C)C(=O)c1cc(OC)c(OC)cc1Cl,-3.79686,COC(=O)C(C)(C)N(C)C(=O)c1cc(OC)c(OC)cc1Cl,-3.79686,,-0.0,0,232.0,0
8480,ZINC000601897523,CCOC(=O)[C@@]1(C)CN(C(=O)[C@](C)(OC)C(=O)OC(C)(C)C)CCO1,-3.79759,CCOC(=O)[C@@]1(C)CN(C(=O)[C@](C)(OC)C(=O)OC(C)(C)C)CCO1,-3.79759,,-0.0,0,233.0,0
7551,ZINC000342707024,CCCCO[C@H](C)C(=O)N[C@@H](C)C1(S(C)(=O)=O)CC1,-3.79905,CCCCO[C@H](C)C(=O)N[C@@H](C)C1(S(C)(=O)=O)CC1,-3.79905,,-0.0,0,234.0,0
2626,ZINC000412234432,COC(=O)[C@@H]1CC[C@H](C(=O)NCC(C)(C)CCCO)C1,-3.79954,COC(=O)[C@@H]1CC[C@H](C(=O)NCC(C)(C)CCCO)C1,-3.79954,,-0.0,0,235.0,0
4792,ZINC000112921249,COCCN(CC(=O)N(C)C)C(=O)CCc1c(C)noc1Cl,-3.80039,COCCN(CC(=O)N(C)C)C(=O)CCc1c(C)noc1Cl,-3.80039,,-0.0,0,236.0,0
4076,ZINC000343877122,CC(C)CCO[C@@H](C)C(=O)N(CCC#N)Cc1ccco1,-3.8007,CC(C)CCO[C@@H](C)C(=O)N(CCC#N)Cc1ccco1,-3.8007,,-0.0,0,237.0,0
