,compound_id,smiles,docking_score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate,rank,top_100
5078,ZINC000642695419,CCN(C(=O)N[C@H](C)C[C@@H]1CCOC1)[C@H]1CCOC(C)(C)C1,-4.68694,CCN(C(=O)N[C@H](C)C[C@@H]1CCOC1)[C@H]1CCOC(C)(C)C1,-4.68694,,-0.0,0,844.0,0
1202,ZINC000022874906,NS(=O)(=O)c1ccc(NCCc2cn3ccccc3n2)c([N+](=O)[O-])c1,-8.38682,NS(=O)(=O)c1ccc(NCCc2cn3ccccc3n2)c([N+](=O)[O-])c1,-8.38682,,-0.0,0,9659.0,0
8418,ZINC000595296856,CCCN(CC)[C@H]1CCN(CC(=O)OC(C)(C)C)C1=O,-5.64956,CCCN(CC)[C@H]1CCN(CC(=O)OC(C)(C)C)C1=O,-5.64956,,-0.0,0,2794.0,0
2237,ZINC000289716386,CC(=O)c1ccc(S(=O)(=O)N2CC[C@H](n3cc(C)cn3)C2)cc1,-5.8774,CC(=O)c1ccc(S(=O)(=O)N2CC[C@H](n3cc(C)cn3)C2)cc1,-5.8774,,-0.0,0,3488.0,0
9764,ZINC000555309701,Cc1csc(CCC(=O)N(C)c2ccc(F)c(F)c2)n1,-6.04628,Cc1csc(CCC(=O)N(C)c2ccc(F)c(F)c2)n1,-6.04628,,-0.0,0,4069.0,0
9895,ZINC000041103615,CC(C)[C@H](C)NC(=O)COc1cccc(C(F)(F)F)c1,-6.698410000000001,CC(C)[C@H](C)NC(=O)COc1cccc(C(F)(F)F)c1,-6.698410000000001,,-0.0,0,6292.0,0
5269,ZINC000347241932,CCOCC1(c2nc(C(C3CCC3)C3CCC3)no2)CC1,-3.0203,CCOCC1(c2nc(C(C3CCC3)C3CCC3)no2)CC1,-3.0203,,-0.0,0,65.0,1
8187,ZINC000468078731,C[C@@H](CCNC(=O)[C@@H](C)C(F)(F)F)CC(C)(C)C,-2.44849,C[C@@H](CCNC(=O)[C@@H](C)C(F)(F)F)CC(C)(C)C,-2.44849,,-0.0,0,17.0,1
4438,ZINC000114343468,CN1CCC[C@@H]1C(=O)N1CCN(CC(=O)Nc2nncs2)CC1,-7.27129,CN1CCC[C@@H]1C(=O)N1CCN(CC(=O)Nc2nncs2)CC1,-7.27129,,-0.0,0,8021.0,0
2397,ZINC000493742225,CCOc1cc(/C=C/C(=O)N[C@@H]2CO[C@H](C)C2)ccc1OC(F)F,-6.193,CCOc1cc(/C=C/C(=O)N[C@@H]2CO[C@H](C)C2)ccc1OC(F)F,-6.193,,-0.0,0,4567.0,0
1163,ZINC000360217830,Cc1ccccc1-c1cc(NC(=O)N[C@H]2CCC(=O)NC2)n(C)n1,-5.49829,Cc1ccccc1-c1cc(NC(=O)N[C@H]2CCC(=O)NC2)n(C)n1,-5.49829,,-0.0,0,2382.0,0
4559,ZINC000423932455,CC(C)c1nc([C@H]2CCCCN2C(=O)C[C@H]2CCCNCC2)n[nH]1,-5.90409,CC(C)c1nc([C@H]2CCCCN2C(=O)C[C@H]2CCCNCC2)n[nH]1,-5.90409,,-0.0,0,3589.0,0
7490,ZINC000342354629,CN(C)C1(CNC(=O)[C@H]2CCCc3nn(C)cc32)CCCCCC1,-5.71823,CN(C)C1(CNC(=O)[C@H]2CCCc3nn(C)cc32)CCCCCC1,-5.71823,,-0.0,0,2998.0,0
4876,ZINC000297092011,O=C(NCCc1ccon1)[C@@H]1CCCCC1(F)F,-6.07531,O=C(NCCc1ccon1)[C@@H]1CCCCC1(F)F,-6.07531,,-0.0,0,4172.0,0
383,ZINC000120327029,Cc1occc1C(=O)Nc1nc(CC(=O)NC[C@@H](O)C(C)(C)C)cs1,-5.76539,Cc1occc1C(=O)Nc1nc(CC(=O)NC[C@@H](O)C(C)(C)C)cs1,-5.76539,,-0.0,0,3156.0,0
329,ZINC000274651992,O=C(CCOc1ccccc1[N+](=O)[O-])N1CCO[C@]2(CCOC2)C1,-6.76254,O=C(CCOc1ccccc1[N+](=O)[O-])N1CCO[C@]2(CCOC2)C1,-6.76254,,-0.0,0,6535.0,0
4660,ZINC000414841345,c1c(CNC[C@@H]2CCCN2)c(-c2ccncc2)nn1-c1ccccc1,-7.02509,c1ccc(-n2cc(CNC[C@@H]3CCCN3)c(-c3ccncc3)n2)cc1,-7.02509,,-0.0,0,7357.0,0
7238,ZINC000361114447,Cc1ccc2nc(CNC(=O)[C@H]3CSc4ccccc43)cn2c1,-8.87129,Cc1ccc2nc(CNC(=O)[C@H]3CSc4ccccc43)cn2c1,-8.87129,,-0.0,0,9837.0,0
