ID smiles score
CPD002367223 CC1Sc2ccc(cc2NC1=O)S(=O)(=O)N3CCC(CC3)C(=O)N4CCCC4 -4.885
CPD000595465 Cc1ccc(CNc2nc(nc3ccccc23)c4cccnc4)cc1 -5.044
CPD001633183 CCCC(=O)Nc1cccc(c1)c2cc3cc(F)ccc3[nH]2 -5.342
CPD002370218 CCOC(=O)c1cnc(Nc2ccccc2OC)c3ccccc13 -4.030
CPD000009761 C/C=C/Cn1c(nc2n(C)c(=O)[nH]c(=O)c12)N3CCCCCC3 -4.238
CPD002376257 CCOc1ccc(NC(=O)COc2ccc(cc2)C(C)C)c3cccnc13 -3.589
CPD000595528 CC(C)c1cc2c(CN3CCCCC3C)cc(=O)oc2cc1C -6.160
CPD002367224 COc1ccc(NC(=O)CSC2=NC3(CCCCC3)Nc4ccccc24)cc1 -3.167
CPD001634241 O=C1CC(CN1c2ccccc2)c3onc(n3)c4ccc(Oc5ccccc5)cc4 -2.823
CPD002373336 O=C(CNC(=O)c1ccccc1)N(Cc2cccs2)C3(CCCCC3)C(=O)NC4CCCC4 -1.521
CPD002370219 CCOC(=O)c1cnc(Nc2ccc(F)cc2)c3ccccc13 -4.760
CPD000009762 COCCn1c(SCc2ccccc2Cl)nc3n(C)c(=O)[nH]c(=O)c13 -4.620
CPD002394556 CC(Sc1nnc(Nc2ccccc2F)s1)C(=O)N(C)c3ccccc3 -6.269
CPD002376258 CCOc1ccccc1C(=O)Nc2ccc(OCC)c3ncccc23 -5.167
CPD001659848 CCCCC(=O)Nc1ccc(cc1)c2occ(n2)c3ccccc3 -5.041
CPD000595575 Fc1ccc(C(=O)NCCc2c[nH]c3ccccc23)c(F)c1 -2.999
CPD002367225 CCOc1ccc(NC(=O)CSC2=NC3(CCCCC3)Nc4ccccc24)cc1 -2.370
CPD002370220 CCOC(=O)c1cnc(Nc2ccc(C)c(F)c2)c3ccccc13 -4.647
CPD000009781 C(N1C2=NCCCN2c3ccccc13)c4ccccc4.Cl -3.967
CPD001659851 O=C(CCc1ccccc1)Nc2ccc(cc2)c3occ(n3)c4ccccc4 -1.107
CPD000595600 Cc1ccc(F)c(NC(=O)c2cncn2c3ccccc3)c1 -3.264
CPD002373337 O=C(CNC(=O)c1ccccc1)N(c2ccccc2)C3(CCCCC3)C(=O)NC4CCCC4 -2.040
CPD002394558 CCCn1c(C)cc(C(=O)CSc2nnc(c3ccncc3)n2c4ccccc4)c1C -3.678
CPD002367226 COc1ccc(NC(=O)CSC2=NC3(CCCCC3)Nc4ccccc24)cc1Cl -2.660
CPD002376259 CCCCOc1ccccc1C(=O)Nc2ccc(OCC)c3ncccc23 -5.777
CPD002370221 CCOC(=O)c1cnc(Nc2ccc(OC)cc2OC)c3ccccc13 -3.789
CPD000009926 O=C(Nc1ccc2oc(nc2c1)c3ccccc3)c4cccnc4 -5.440
CPD001659863 CC(C)C(=O)Nc1ccc(cc1)c2occ(n2)c3ccccc3 -5.160
CPD000595657 CCN(CC)S(=O)(=O)c1cccc(NC(=O)CCNC(=O)c2ccccc2Cl)c1 -3.032
CPD002370222 CCOC(=O)c1cnc(Nc2ccc(F)cc2F)c3ccccc13 -3.583
CPD000009992 CCCn1c(SC/C=C/C)nc2n(C)c(=O)[nH]c(=O)c12 -4.995
CPD002367227 O=C(CSC1=NC2(CCCC2)Nc3ccccc13)Nc4ccc5OCCOc5c4 -5.616
CPD001660624 Cc1ccc(CNC(=O)c2ccc(cc2)c3csc(n3)C4CC4)cc1 -4.864
CPD002394559 COc1ccc(cc1S(=O)(=O)N2CCCCC2C)C(=O)OCc3nnc(o3)c4ccccc4 -3.794
CPD002376260 CCOc1ccc(NC(=O)C(c2ccccc2)c3ccccc3)c4cccnc14 -3.074
CPD000595682 CCOc1ccc(cc1)C(=O)Cn2cnc3ccccc3c2=O -5.367
CPD002373338 Cc1ccc(cc1)N(C(=O)CNC(=O)c2ccccc2)C3(CCCCC3)C(=O)NC4CCCC4 -6.055
CPD002370223 CCOC(=O)c1cnc(Nc2ccccc2F)c3ccccc13 -4.469
CPD001660628 O=C(NCc1ccc2OCOc2c1)c3ccc(cc3)c4csc(n4)C5CC5 -7.381
CPD002394560 Cc1ccc2c(CSc3nnnn3c4ccccc4)cc(=O)oc2c1 -2.835
CPD002376261 CCCC(=O)Nc1ccc(OCC)c2ncccc12 -5.191
CPD002367228 O=C(CSC1=NC2(CCCCC2)Nc3ccccc13)Nc4ccc5OCOc5c4 -3.779
CPD000010032 CCSc1nc2n(C)c(=O)[nH]c(=O)c2n1CC(O)COc3ccccc3C -3.731
CPD000595684 CC(C)Cn1cnc2n(Cc3ccccc3)c(=O)n(CC(=O)O)c(=O)c12 -4.423
CPD002376262 CCOc1ccc(NC(=O)C(CC)CC)c2cccnc12 -3.555
CPD002373339 O=C(CNC(=O)c1ccccc1)N(Cc2cccs2)C3(CCCCC3)C(=O)NC4CCCCC4 -1.332
CPD001660655 COc1ccccc1CNC(=O)c2ccc(cc2)c3csc(n3)C4CC4 -2.786
CPD002370224 CCOC(=O)c1cnc(N2CCN(CC2)c3ccccn3)c4ccccc14 -3.929
CPD002376263 CCOc1ccc(NC(=O)Cc2ccccc2)c3cccnc13 -3.592
