,compound_id,smiles,docking_score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate,rank
956,ZINC000348127206,FC(F)(F)Cn1ccnc1Cn1ccc(-c2ccccn2)n1,-6.04327,FC(F)(F)Cn1ccnc1Cn1ccc(-c2ccccn2)n1,-6.04327,,-0.0,0,4059.0
6276,ZINC000005110200,Cc1ccsc1C(=O)OCC(=O)Nc1ccc(F)cc1[N+](=O)[O-],-6.726780000000001,Cc1ccsc1C(=O)OCC(=O)Nc1ccc(F)cc1[N+](=O)[O-],-6.726780000000001,,-0.0,0,6392.0
2262,ZINC000583736930,CCO[C@@H]1COC[C@H]1NC(=O)COc1c(C)nn(C)c1C,-5.30097,CCO[C@@H]1COC[C@H]1NC(=O)COc1c(C)nn(C)c1C,-5.30097,,-0.0,0,1904.0
5252,ZINC000631704821,O=S1(=O)CCC[C@H](NCC[C@H](O)C(F)F)C1,-5.74802,O=S1(=O)CCC[C@H](NCC[C@H](O)C(F)F)C1,-5.74802,,-0.0,0,3097.0
5087,ZINC000295568857,CC(C)=CCC[C@H](C)NC(=O)c1cc(C2CC2)no1,-4.05921,CC(C)=CCC[C@H](C)NC(=O)c1cc(C2CC2)no1,-4.05921,,-0.0,0,342.0
2994,ZINC000679630395,CN(Cc1ccsc1)C(=O)NC[C@H]1CC(=O)N(C2CC2)C1,-7.12219,CN(Cc1ccsc1)C(=O)NC[C@H]1CC(=O)N(C2CC2)C1,-7.12219,,-0.0,0,7607.0
5436,ZINC000364839246,Cc1nccn1CCCN1CCC[C@H](N2CCCS2(=O)=O)C1,-7.417000000000001,Cc1nccn1CCCN1CCC[C@H](N2CCCS2(=O)=O)C1,-7.417000000000001,,-0.0,0,8362.0
6130,ZINC000371048511,Cc1nc(CN2CCC[C@@H](N(C)C(=O)[C@H](C)n3cncn3)C2)no1,-6.00049,Cc1nc(CN2CCC[C@@H](N(C)C(=O)[C@H](C)n3cncn3)C2)no1,-6.00049,,-0.0,0,3917.0
5900,ZINC000577276274,CC(C)n1cc([C@H](C)NC(=O)N[C@@H]2CC[C@H](C#N)C2)cn1,-7.51295,CC(C)n1cc([C@H](C)NC(=O)N[C@@H]2CC[C@H](C#N)C2)cn1,-7.51295,,-0.0,0,8559.0
3472,ZINC000291453628,CCOc1cc(CN(C)[C@H]2CCSC2)cc(Br)c1O,-5.99788,CCOc1cc(CN(C)[C@H]2CCSC2)cc(Br)c1O,-5.99788,,-0.0,0,3911.0
