,Unnamed: 0,ID,SMILES,score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate
24134,24135,CPD002489778,COc1ccc(CN2C(=NC(=O)C3=C2NCN(Cc4ccccc4)C3)O)cc1,-5.526,COc1ccc(Cn2c(O)nc(=O)c3c2NCN(Cc2ccccc2)C3)cc1,-5.526,,-0.0,0
30981,30982,CPD002373354,CCN(CC)S(=O)(=O)c1ccc(NC(=O)CN2C(=O)c3ccccc3S2(=O)=O)cc1,-5.308,CCN(CC)S(=O)(=O)c1ccc(NC(=O)CN2C(=O)c3ccccc3S2(=O)=O)cc1,-5.308,,-0.0,0
29877,29878,CPD001314242,CN(CC(=O)Nc1ccc(C)cc1)C(=O)Cc2c[nH]c3ccccc23,-5.342,Cc1ccc(NC(=O)CN(C)C(=O)Cc2c[nH]c3ccccc23)cc1,-5.342,,-0.0,0
10055,10056,CPD002413866,FC(F)(F)c1cccc(CSc2ncnc3ccccc23)c1,-6.224,FC(F)(F)c1cccc(CSc2ncnc3ccccc23)c1,-6.224,,-0.0,0
46728,46729,CPD000863316,Cc1csc(NC(=O)c2nc(C)n(n2)c3ccc(F)cc3)n1,-4.891,Cc1csc(NC(=O)c2nc(C)n(-c3ccc(F)cc3)n2)n1,-4.891,,-0.0,0
4604,4605,CPD002393206,O=C(COc1ccc2ccc(=O)oc2c1)N3CCCc4ccccc34,-7.11,O=C(COc1ccc2ccc(=O)oc2c1)N1CCCc2ccccc21,-7.11,,-0.0,0
8529,8530,CPD002374257,COc1cc(OC)cc(c1)c2cc(n[nH]2)N3N(O)c4ccccc4NC3=O,-6.371,COc1cc(OC)cc(-c2cc(N3C(=O)Nc4ccccc4N3O)n[nH]2)c1,-6.371,,-0.0,0
34612,34613,CPD002406781,CCOC(=O)NC(CNC(=O)c1ccc(C)cc1)CC(C)C,-5.206,CCOC(=O)NC(CNC(=O)c1ccc(C)cc1)CC(C)C,-5.206,,-0.0,0
28601,28602,CPD002393477,CN(C)S(=O)(=O)c1ccc(C)c(NC(=O)COc2ccc3cc(Br)ccc3c2)c1,-5.381,Cc1ccc(S(=O)(=O)N(C)C)cc1NC(=O)COc1ccc2cc(Br)ccc2c1,-5.381,,-0.0,0
744,744,CPD002488294,COc1ccc2[nH]cc(C(N3CCN(CC3)C(=O)C)C(=O)O)c2c1,-8.895,COc1ccc2[nH]cc(C(C(=O)O)N3CCN(C(C)=O)CC3)c2c1,-8.895,,-0.0,0
