,ID,SMILES,score,rdkit_smiles,VALUE_NUM_mean,VALUE_NUM_std,Perc_Var,Remove_BadDuplicate
2244,CPD002395054,OC(=O)c1nn(CC(=O)c2ccc(cc2)C3CCCCC3)c(=O)c4ccccc14,-9.148,O=C(Cn1nc(C(=O)O)c2ccccc2c1=O)c1ccc(C2CCCCC2)cc1,-9.148,,-0.0,0
2245,CPD002397179,COc1cccc(\C=C(\CC(=O)O)/c2oc3ccccc3n2)c1,-9.146,COc1cccc(/C=C(/CC(=O)O)c2nc3ccccc3o2)c1,-9.146,,-0.0,0
2246,CPD002418105,COc1cc(ccc1OCC(=O)O)C(=O)\C=C\c2ccccc2Br,-9.139,COc1cc(C(=O)/C=C/c2ccccc2Br)ccc1OCC(=O)O,-9.139,,-0.0,0
2247,CPD000516548,OCC(NS(=O)(=O)c1ccc(Br)c(c1)C(=O)O)C(O)c2ccc(cc2)[N+](=O)[O-],-9.134,O=C(O)c1cc(S(=O)(=O)NC(CO)C(O)c2ccc([N+](=O)[O-])cc2)ccc1Br,-9.134,,-0.0,0
2248,CPD002392892,COc1ccccc1NC(=O)c2ccc(NC(=O)Cn3nc(C(=O)O)c4ccccc4c3=O)cc2,-9.133,COc1ccccc1NC(=O)c1ccc(NC(=O)Cn2nc(C(=O)O)c3ccccc3c2=O)cc1,-9.133,,-0.0,0
2249,CPD002442686,OC(=O)COc1ccc(/C=C\2/NC(=O)NC2=O)cc1Cl,-9.127,O=C(O)COc1ccc(/C=C2/NC(=O)NC2=O)cc1Cl,-9.127,,-0.0,0
2250,CPD000544505,NC(=O)COc1ccccc1C2=NO[C@](CC(=O)O)(C2)C(=O)Nc3ccc4OCCOc4c3,-9.123,NC(=O)COc1ccccc1C1=NO[C@@](CC(=O)O)(C(=O)Nc2ccc3c(c2)OCCO3)C1,-9.123,,-0.0,0
2251,CPD000650237,CCc1c(C)c2ccc(OCC(=O)NCC3CCC(CC3)C(=O)O)c(C)c2oc1=O,-9.121,CCc1c(C)c2ccc(OCC(=O)NCC3CCC(C(=O)O)CC3)c(C)c2oc1=O,-9.121,,-0.0,0
2252,CPD000650169,CCCCc1cc(=O)oc2c(C)c(OCC(=O)NC[C@H]3CC[C@@H](CC3)C(=O)O)ccc12,-9.12,CCCCc1cc(=O)oc2c(C)c(OCC(=O)NC[C@H]3CC[C@H](C(=O)O)CC3)ccc12,-9.12,,-0.0,0
2253,CPD002489045,CN1CCN(CC1)C(=O)CN2CCN(CC2)C(C(=O)O)c3cn(C)c4ccc(cc34)C(=O)O,-9.119,CN1CCN(C(=O)CN2CCN(C(C(=O)O)c3cn(C)c4ccc(C(=O)O)cc34)CC2)CC1,-9.119,,-0.0,0
2254,CPD002454777,CN1C(=O)N(C)c2nc([nH]c2C1=O)N3CCC(CC3)C(=O)O,-9.118,Cn1c(=O)c2[nH]c(N3CCC(C(=O)O)CC3)nc2n(C)c1=O,-9.118,,-0.0,0
2255,CPD002489165,CN1CCN(CC1)C(C(=O)O)c2cn(C)c3cc(ccc23)C(=O)O,-9.118,CN1CCN(C(C(=O)O)c2cn(C)c3cc(C(=O)O)ccc23)CC1,-9.118,,-0.0,0
2256,CPD002488850,CCN1CCN(CC1)C(C(=O)O)c2c[nH]c3cc(NC(=O)CCC(=O)O)ccc23,-9.118,CCN1CCN(C(C(=O)O)c2c[nH]c3cc(NC(=O)CCC(=O)O)ccc23)CC1,-9.118,,-0.0,0
2257,CPD000194607,Cc1ccc(cc1c2ccc(C=O)o2)C(=O)O,-9.111,Cc1ccc(C(=O)O)cc1-c1ccc(C=O)o1,-9.111,,-0.0,0
2258,CPD000651073,COc1cc(OC)c2cc(C(=O)N[C@@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)O)n(C)c2c1,-9.11,COc1cc(OC)c2cc(C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)O)C(C)C)n(C)c2c1,-9.11,,-0.0,0
2259,CPD002440017,OC(=O)c1cncc(c1)C(=O)O,-9.11,O=C(O)c1cncc(C(=O)O)c1,-9.11,,-0.0,0
2260,CPD002441206,CC(C)(C)c1ccc(Oc2ccc(NC(=O)CCC(=O)O)cc2)cc1,-9.109,CC(C)(C)c1ccc(Oc2ccc(NC(=O)CCC(=O)O)cc2)cc1,-9.109,,-0.0,0
2261,CPD002394661,COc1ccc(CNC(=O)Cn2nc(C(=O)O)c3ccccc3c2=O)cc1,-9.108,COc1ccc(CNC(=O)Cn2nc(C(=O)O)c3ccccc3c2=O)cc1,-9.108,,-0.0,0
2262,CPD000652720,Cc1cc(=O)oc2c3CCC(C)(C)Oc3cc(OCC(=O)N4CCC[C@H]4C(=O)O)c12,-9.105,Cc1cc(=O)oc2c3c(cc(OCC(=O)N4CCC[C@H]4C(=O)O)c12)OC(C)(C)CC3,-9.105,,-0.0,0
2263,CPD002416940,OC(=O)CCc1oc(cn1)c2ccc(F)cc2F,-9.105,O=C(O)CCc1ncc(-c2ccc(F)cc2F)o1,-9.105,,-0.0,0
2264,CPD002176145,COc1ccc(cc1F)S(=O)(=O)NCC(=O)O,-9.101,COc1ccc(S(=O)(=O)NCC(=O)O)cc1F,-9.101,,-0.0,0
2265,CPD002453354,CC1=C(CC(=O)O)C(=O)Oc2cc(C)cc(OCc3nnn[nH]3)c12,-9.1,Cc1cc(OCc2nnn[nH]2)c2c(C)c(CC(=O)O)c(=O)oc2c1,-9.1,,-0.0,0
2266,CPD002410635,Cc1ccc(cc1)C2CC(=NN2C(=O)CCC(=O)O)c3ccc4OCOc4c3,-9.099,Cc1ccc(C2CC(c3ccc4c(c3)OCO4)=NN2C(=O)CCC(=O)O)cc1,-9.099,,-0.0,0
2267,CPD002413459,COc1cc(OC)cc(c1)C(=O)NCC(=O)O,-9.097,COc1cc(OC)cc(C(=O)NCC(=O)O)c1,-9.097,,-0.0,0
2268,CPD002455955,Cc1c(CC(=O)O)c(=O)oc2cc(OCc3ccccc3F)ccc12,-9.095,Cc1c(CC(=O)O)c(=O)oc2cc(OCc3ccccc3F)ccc12,-9.095,,-0.0,0
2269,CPD002438974,OC(=O)c1ccc(Cc2ccc(o2)C(=O)O)o1,-9.095,O=C(O)c1ccc(Cc2ccc(C(=O)O)o2)o1,-9.095,,-0.0,0
2270,CPD002438118,CCOc1ccc2nc(NC3=NC(CC(=O)O)C(=O)N3)nc(C)c2c1,-9.091,CCOc1ccc2nc(NC3=NC(CC(=O)O)C(=O)N3)nc(C)c2c1,-9.091,,-0.0,0
2271,CPD002454350,COc1ccc(OCCN2C3=NC(=O)C(=NN3c4ccccc24)CCC(=O)O)cc1,-9.087,COc1ccc(OCCn2c3ccccc3n3nc(CCC(=O)O)c(=O)nc23)cc1,-9.087,,-0.0,0
2272,CPD002393797,OC(=O)C\C(=C\c1ccc(Cl)cc1Cl)\c2oc3ccccc3n2,-9.086,O=C(O)C/C(=C/c1ccc(Cl)cc1Cl)c1nc2ccccc2o1,-9.086,,-0.0,0
2273,CPD000650165,CCc1cc(=O)oc2cc(OCC(=O)NC[C@H]3CC[C@@H](CC3)C(=O)O)ccc12,-9.086,CCc1cc(=O)oc2cc(OCC(=O)NC[C@H]3CC[C@H](C(=O)O)CC3)ccc12,-9.086,,-0.0,0
2274,CPD002397162,OC(=O)C\C(=C\c1cccc(Cl)c1)\c2oc3ccccc3n2,-9.084,O=C(O)C/C(=C/c1cccc(Cl)c1)c1nc2ccccc2o1,-9.084,,-0.0,0
2275,CPD000544705,Cc1c(C)c2c(OCC(=O)NCC(=O)NCC(=O)O)cc3OC(C)(C)CCc3c2oc1=O,-9.084,Cc1c(C)c2c(OCC(=O)NCC(=O)NCC(=O)O)cc3c(c2oc1=O)CCC(C)(C)O3,-9.084,,-0.0,0
2276,CPD002488820,OC(=O)CCC(=O)Nc1ccc2[nH]cc(C(N3CCN(CC3)c4ccc(F)cc4)C(=O)O)c2c1,-9.082,O=C(O)CCC(=O)Nc1ccc2[nH]cc(C(C(=O)O)N3CCN(c4ccc(F)cc4)CC3)c2c1,-9.082,,-0.0,0
2277,CPD002455958,Cc1c(CC(=O)O)c(=O)oc2cc(OCc3ccc(F)cc3)ccc12,-9.081,Cc1c(CC(=O)O)c(=O)oc2cc(OCc3ccc(F)cc3)ccc12,-9.081,,-0.0,0
2278,CPD002454339,OC(=O)c1ccc(Nc2nc(cs2)c3ccc(Cl)cc3)cc1O,-9.08,O=C(O)c1ccc(Nc2nc(-c3ccc(Cl)cc3)cs2)cc1O,-9.08,,-0.0,0
2279,CPD000650171,Cc1c(Cc2ccccc2)c(=O)oc3cc(OCC(=O)NC[C@H]4CC[C@@H](CC4)C(=O)O)ccc13,-9.079,Cc1c(Cc2ccccc2)c(=O)oc2cc(OCC(=O)NC[C@H]3CC[C@H](C(=O)O)CC3)ccc12,-9.079,,-0.0,0
2280,CPD002488894,CC(=O)N1CCN(CC1)C(C(=O)O)c2cn(CC(=O)O)c3cc(Cl)ccc23,-9.077,CC(=O)N1CCN(C(C(=O)O)c2cn(CC(=O)O)c3cc(Cl)ccc23)CC1,-9.077,,-0.0,0
2281,CPD002489102,Cc1ccc(N2CCN(CC2)C(C(=O)O)c3cn(C)c4ccc(cc34)C(=O)O)c(C)c1,-9.075,Cc1ccc(N2CCN(C(C(=O)O)c3cn(C)c4ccc(C(=O)O)cc34)CC2)c(C)c1,-9.075,,-0.0,0
2282,CPD002410885,OC(=O)CCC(=O)N1N=C(CC1c2ccc(Br)cc2)c3ccsc3,-9.073,O=C(O)CCC(=O)N1N=C(c2ccsc2)CC1c1ccc(Br)cc1,-9.073,,-0.0,0
2283,CPD000650243,COc1ccc(cc1)c2cc(=O)oc3cc(OC(C)C(=O)NC[C@H]4CC[C@@H](CC4)C(=O)O)ccc23,-9.064,COc1ccc(-c2cc(=O)oc3cc(OC(C)C(=O)NC[C@H]4CC[C@H](C(=O)O)CC4)ccc23)cc1,-9.064,,-0.0,0
2284,CPD002455957,Cc1c(CC(=O)O)c(=O)oc2c(C)c(OCc3ccc(F)cc3)ccc12,-9.061,Cc1c(CC(=O)O)c(=O)oc2c(C)c(OCc3ccc(F)cc3)ccc12,-9.061,,-0.0,0
2285,CPD000650194,CC(Oc1ccc2ccc(=O)oc2c1)C(=O)NC[C@H]3CC[C@@H](CC3)C(=O)O,-9.059,CC(Oc1ccc2ccc(=O)oc2c1)C(=O)NC[C@H]1CC[C@H](C(=O)O)CC1,-9.059,,-0.0,0
2286,CPD002416306,OC(=O)C\C(=C\c1cccnc1)\c2nc3ccccc3s2,-9.057,O=C(O)C/C(=C/c1cccnc1)c1nc2ccccc2s1,-9.057,,-0.0,0
2287,CPD002430583,COc1ccc(C(=O)O)c(OCc2ccc(cc2)C#N)c1,-9.055,COc1ccc(C(=O)O)c(OCc2ccc(C#N)cc2)c1,-9.055,,-0.0,0
2289,CPD000650111,Cc1c(CCC(=O)N2CCC(CC2)C(=O)O)c(=O)oc3cc4oc5CCCCc5c4cc13,-9.053,Cc1c(CCC(=O)N2CCC(C(=O)O)CC2)c(=O)oc2cc3oc4c(c3cc12)CCCC4,-9.053,,-0.0,0
2290,CPD002428491,OC(=O)CCOc1ccccc1c2ccccc2,-9.048,O=C(O)CCOc1ccccc1-c1ccccc1,-9.048,,-0.0,0
2291,CPD000365268,CC(C)(C)c1ccc(cc1)C(=O)Cn2nc(C(=O)O)c3ccccc3c2=O,-9.047,CC(C)(C)c1ccc(C(=O)Cn2nc(C(=O)O)c3ccccc3c2=O)cc1,-9.047,,-0.0,0
2292,CPD000652451,COc1ccc(cc1)c2cc(=O)oc3cc(OC(C)C(=O)NC(Cc4c[nH]c5ccc(O)cc45)C(=O)O)ccc23,-9.046,COc1ccc(-c2cc(=O)oc3cc(OC(C)C(=O)NC(Cc4c[nH]c5ccc(O)cc45)C(=O)O)ccc23)cc1,-9.046,,-0.0,0
2293,CPD002500598,Cc1cc(C)c2ccc(cc2n1)C(=O)O,-9.045,Cc1cc(C)c2ccc(C(=O)O)cc2n1,-9.045,,-0.0,0
2294,CPD000650939,COc1ccc(OC)c2n(C)c(cc12)C(=O)N[C@@H](C(C)C)C(=O)N3CCC[C@H]3C(=O)O,-9.045,COc1ccc(OC)c2c1cc(C(=O)N[C@H](C(=O)N1CCC[C@H]1C(=O)O)C(C)C)n2C,-9.045,,-0.0,0
